Time(ms),AccX(0)[G],AccY(0)[G],AccZ(0)[G],GyrX(0)[deg/s],GyrY(0)[deg/s],GyrZ(0)[deg/s],MagX(0)[uT],MagY(0)[uT],MagZ(0)[uT],Roll(0)[deg],Pitch(0)[deg],Yaw(0)[deg],Qw(0),Qx(0),Qy(0),Qz(0),
0.000000,0.794,0.595,0.090,-1.90,3.90,-32.00,-11.60,-69.20,25.20,83.37,-52.77,60.59,0.429,0.682,0.014,0.593,
0.000000,0.794,0.623,0.090,3.40,3.80,-31.50,-11.20,-68.60,25.00,83.41,-52.13,60.60,0.432,0.682,0.018,0.591,
0.000000,0.810,0.701,0.070,2.90,3.10,-29.00,-11.10,-68.80,25.20,83.49,-51.50,60.59,0.434,0.681,0.023,0.589,
0.000000,0.802,0.642,0.082,0.00,2.90,-29.90,-11.10,-69.00,25.30,83.51,-50.91,60.58,0.437,0.681,0.026,0.587,
0.000000,0.802,0.603,0.082,0.50,3.30,-32.50,-10.80,-69.00,25.20,83.52,-50.27,60.57,0.440,0.680,0.030,0.585,
0.000000,0.798,0.619,0.086,1.20,3.40,-32.00,-11.10,-68.80,24.90,83.53,-49.64,60.58,0.444,0.680,0.035,0.583,
0.000000,0.818,0.610,0.070,-0.90,3.80,-30.90,-10.90,-69.50,24.60,83.53,-49.01,60.58,0.447,0.679,0.039,0.581,
0.000000,0.821,0.547,0.066,-5.70,4.30,-31.50,-10.90,-69.40,24.60,83.41,-48.54,60.61,0.450,0.678,0.041,0.580,
0.000000,0.817,0.519,0.070,-6.30,4.50,-31.00,-10.60,-69.50,24.20,83.25,-47.91,60.64,0.454,0.677,0.044,0.578,
0.000000,0.775,0.643,0.083,0.00,3.80,-26.50,-10.70,-69.70,24.00,83.20,-47.35,60.66,0.457,0.676,0.048,0.576,
0.000000,0.755,0.655,0.095,6.10,3.10,-22.40,-10.30,-69.60,24.10,83.27,-46.92,60.69,0.458,0.676,0.051,0.575,
0.000000,0.767,0.655,0.048,6.90,3.80,-24.20,-10.20,-70.10,23.40,83.40,-46.45,60.71,0.460,0.676,0.055,0.573,
0.000000,0.805,0.539,0.074,1.70,5.70,-28.20,-9.90,-70.20,22.80,83.40,-46.04,60.79,0.461,0.676,0.058,0.572,
0.000000,0.724,0.715,0.103,2.90,4.70,-20.30,-9.70,-70.00,23.20,83.35,-45.51,60.87,0.464,0.675,0.062,0.571,
0.000000,0.701,0.778,0.108,2.40,2.10,-17.50,-9.80,-70.80,23.40,83.38,-45.13,60.93,0.465,0.675,0.064,0.570,
0.000000,0.794,0.000,0.084,-1.90,2.00,-22.00,-9.40,-70.50,23.10,83.42,-44.75,60.91,0.467,0.674,0.067,0.568,
0.000000,0.712,0.707,0.092,-4.60,3.40,-24.70,-8.80,-68.60,23.20,83.37,-44.28,60.91,0.469,0.674,0.070,0.567,
0.000000,0.696,0.723,0.104,-2.10,2.60,-23.30,-9.00,-68.40,22.90,83.25,-43.78,60.94,0.472,0.673,0.072,0.565,
0.000000,0.747,0.659,0.080,-0.30,1.50,-24.70,-8.30,-69.10,22.70,83.23,-43.31,60.93,0.475,0.672,0.075,0.564,
